"","year","month","all","ep","epu","ep_count","epu_count"
"240","2004",9,909719,63.0108818821878,71.8732922428266,461,28
"239","2004",10,977295,97.4596821360802,76.4611937420293,766,32
"238","2004",11,908039,61.7581016471742,41.1464388303347,451,16
"231","2004",12,910052,54.9264767881605,56.451208675389,402,22
"245","2005",1,940902,49.953889172197,42.1911441012182,378,17
"244","2005",2,950366,65.9419132276736,56.5136968868007,504,23
"248","2005",3,1045896,65.1499301244282,62.5152974539074,548,28
"241","2005",4,1007222,75.1820194922853,115.920854492165,609,50
"249","2005",5,993337,66.5942784452862,44.6656605595651,532,19
"247","2005",6,960495,75.8620204918052,60.7801367541252,586,25
"246","2005",7,931704,77.8058931745076,70.1773305103895,583,28
"242","2005",8,977917,78.0707358945089,45.3699580468043,614,19
"252","2005",9,1024047,63.3829591558021,25.0835827640016,522,11
"251","2005",10,1052000,63.1171550253631,39.9552210695728,534,18
"250","2005",11,1036401,48.230318239773,27.0377280384655,402,12
"243","2005",12,1005345,53.6780221245905,44.1321668315421,434,19
"257","2006",1,1043108,57.814178665203,44.7731337132136,485,20
"256","2006",2,1011051,65.919457480739,50.8120118148888,536,22
"260","2006",3,1157023,56.4207960020127,42.3832323639106,525,21
"253","2006",4,1087167,90.4694854025549,120.284187334332,791,56
"261","2006",5,1135886,82.2104618448552,53.4509432722295,751,26
"259","2006",6,1069457,63.7146246342012,170.313097627262,548,78
"258","2006",7,1016493,60.5511930455853,66.6208820364902,495,29
"254","2006",8,1111133,64.1225040574601,37.8288580801673,573,18
"264","2006",9,1097113,52.0215421167239,53.2114900212225,459,25
"263","2006",10,1161078,64.3628066007209,54.3024145214928,601,27
"262","2006",11,1137117,69.1088750777983,137.589858185597,632,67
"255","2006",12,1079220,60.6034930894304,86.5499415528304,526,40
"269","2007",1,1148716,84.5396141807512,83.346613628357,781,41
"268","2007",2,1104827,60.436861666756,86.6575388008365,537,41
"272","2007",3,1233508,50.9062733811776,51.1138467263981,505,27
"265","2007",4,1177823,76.2217761431835,85.2521219375441,722,43
"273","2007",5,1239950,76.01283501631,41.4319410923465,758,22
"271","2007",6,1131004,102.794379136911,53.6816652723772,935,26
"270","2007",7,1139018,82.202738658899,36.902746545876,753,18
"266","2007",8,1231584,64.817591244466,49.2976347124676,642,26
"276","2007",9,1183623,56.6235726100065,55.2409842879464,539,28
"275","2007",10,1265059,64.1836333704169,51.684940817663,653,28
"274","2007",11,1234487,63.5571970725512,54.8565195452995,631,29
"267","2007",12,1164008,139.511211345534,170.521731238636,1306,85
"281","2008",1,1280796,102.033938632391,125.801523557665,1051,69
"280","2008",2,1230321,72.9693803830812,93.0024556235656,722,49
"284","2008",3,1272457,87.1653015621065,93.593100278731,892,51
"277","2008",4,1287436,95.5196099733376,52.6004090641539,989,29
"285","2008",5,1317073,130.944877013119,99.2875862550549,1387,56
"283","2008",6,1208645,191.250477361014,243.438104618257,1859,126
"282","2008",7,1270808,221.229236252858,200.291874216411,2261,109
"278","2008",8,1287141,187.508650781654,107.039152032219,1941,59
"288","2008",9,1292010,158.026228615553,112.057927787015,1642,62
"287","2008",10,1421912,206.114602423008,229.917531977548,2357,140
"286","2008",11,1271859,141.759095183205,121.17743088846,1450,66
"279","2008",12,1246147,133.009533705115,148.038469897392,1333,79
"293","2009",1,1258676,151.937257135586,122.446607444938,1538,66
"292","2009",2,1219138,129.224733280151,103.432652985611,1267,54
"296","2009",3,1313462,174.662935798117,174.230962456837,1845,98
"289","2009",4,1315939,164.790670301657,251.981907311351,1744,142
"297","2009",5,1295846,147.099318333891,142.360816908201,1533,79
